Date,Open,High,Low,Close,Adj Close,Volume
2024-05-03,12817.9501953125,12830.0,12411.400390625,12492.150390625,12375.26171875,834990
2024-05-06,12550.0,12646.400390625,12372.5,12439.2998046875,12322.9052734375,342231
2024-05-07,12472.400390625,12508.5,12239.0,12364.0498046875,12248.359375,604375
2024-05-08,12392.0,12559.9501953125,12325.0,12543.5498046875,12426.1796875,399669
2024-05-09,12540.0,12739.7998046875,12436.75,12504.650390625,12387.64453125,504590
2024-05-10,12505.0,12696.9501953125,12501.0,12675.5,12556.8955078125,328670
2024-05-13,12660.0,12708.400390625,12477.5498046875,12673.849609375,12555.2607421875,281421
2024-05-14,12673.849609375,12840.0,12651.400390625,12814.2001953125,12694.2978515625,331037
2024-05-15,12820.0,12872.400390625,12700.0,12767.2998046875,12647.8369140625,232030
2024-05-16,12848.0,12848.0,12300.0,12497.650390625,12380.7099609375,914201
2024-05-17,12515.150390625,12665.900390625,12322.2998046875,12641.5,12523.2138671875,809226
2024-05-21,12600.150390625,12678.900390625,12441.7998046875,12473.2998046875,12356.587890625,443136
2024-05-22,12427.7998046875,12563.0,12363.099609375,12531.349609375,12414.09375,280015
2024-05-23,12566.0498046875,12975.099609375,12473.0498046875,12934.900390625,12813.869140625,768732
2024-05-24,12865.0,13034.0,12811.0,13000.4501953125,12878.8056640625,624801
2024-05-27,13023.4501953125,13058.5,12777.0,12906.099609375,12785.337890625,464953
2024-05-28,12890.0,12985.9501953125,12800.25,12818.599609375,12698.65625,333806
2024-05-29,12818.0,12850.0498046875,12750.0,12788.650390625,12668.9873046875,353706
2024-05-30,12721.0,12810.0,12550.0,12598.0,12480.12109375,524559
2024-05-31,12598.0,12633.349609375,12330.0,12399.2998046875,12283.2802734375,908304
2024-06-03,12825.0,12825.0,12402.5498046875,12476.150390625,12359.4111328125,485936
2024-06-04,12596.599609375,12597.2001953125,11561.4501953125,12176.0498046875,12062.119140625,825928
2024-06-05,12180.0,12614.099609375,12125.099609375,12502.599609375,12385.61328125,447581
2024-06-06,12511.5498046875,12690.0,12468.0,12673.5,12554.9140625,447536
2024-06-07,12582.349609375,12828.0,12582.349609375,12810.900390625,12691.029296875,532480
2024-06-10,12765.150390625,12920.0,12627.900390625,12717.5498046875,12598.5517578125,293471
2024-06-11,12743.5,12939.5498046875,12655.2001953125,12863.650390625,12743.28515625,358807
2024-06-12,12863.650390625,12951.599609375,12802.0,12849.349609375,12729.1181640625,302719
2024-06-13,12940.0,12940.0,12739.599609375,12846.849609375,12726.6416015625,297240
2024-06-14,12831.5,12895.0,12778.7998046875,12845.2001953125,12725.0078125,216967
2024-06-18,12878.400390625,12880.0,12542.0498046875,12560.9501953125,12443.41796875,823306
2024-06-19,12610.0,12625.0,12200.0,12242.099609375,12127.55078125,694871
2024-06-20,12246.0,12305.5,12135.0,12149.5,12035.8173828125,907751
2024-06-21,12220.0,12366.25,12083.5,12201.5,12087.3310546875,947800
2024-06-24,12181.0,12289.0,12041.0,12183.400390625,12069.400390625,550862
2024-06-25,12201.400390625,12237.7998046875,12072.0498046875,12116.599609375,12003.224609375,594272
2024-06-26,12117.0,12323.849609375,12067.7001953125,12198.25,12084.111328125,447931
2024-06-27,12200.0,12227.2998046875,12010.0,12178.75,12064.7939453125,1230852
2024-06-28,12184.9501953125,12201.5,12004.150390625,12033.849609375,11921.2490234375,1160395
2024-07-01,12045.0,12260.0,12005.5498046875,12108.650390625,11995.349609375,1134926
2024-07-02,12149.9501953125,12149.9501953125,11995.0,12042.599609375,11929.9169921875,687181
2024-07-03,12115.0,12150.0,11960.0,12123.650390625,12010.2099609375,467532
2024-07-04,12135.0,12210.0,12071.7998046875,12089.599609375,11976.4775390625,299684
2024-07-05,12069.150390625,12137.4501953125,12021.900390625,12104.0498046875,11990.79296875,406926
2024-07-08,12104.0,12112.0,11966.0,12023.599609375,11911.0947265625,496933
2024-07-09,12325.0,12959.9501953125,12264.0498046875,12827.7001953125,12707.671875,2114130
2024-07-10,12950.0498046875,13300.0,12732.650390625,12772.7998046875,12653.28515625,2070520
2024-07-11,12800.0,12923.7998046875,12695.0498046875,12715.2001953125,12596.224609375,608983
2024-07-12,12620.0,12669.900390625,12475.0,12562.5,12444.953125,674746
2024-07-15,12600.0,12768.5,12590.0,12643.9501953125,12525.640625,697186
2024-07-16,12643.0,12798.0,12581.75,12639.5498046875,12521.2822265625,347810
2024-07-18,12633.0,12680.0,12463.0,12644.0498046875,12525.7392578125,391216
2024-07-19,12650.0,12710.0,12496.4501953125,12524.2998046875,12407.1103515625,351955
2024-07-22,12500.0,12658.9501953125,12400.0498046875,12641.25,12522.9658203125,249631
